building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
"MAGNUSON BLDG 2, CONSERVATION CORPS",7727 63rd Ave NE,178196,56,Office,1543215.0
THE WHITTAKER (CAMPUS-Parent Property),4755 FAUNTLEROY WAY SW,649605,8,Other,24078510.0
EXCELSIOR APARTMENTS,1535 BELLEVUE AVE,263321,11,Other,6536878.0
THE MARQ WEST SEATTLE,3261 SW AVALON WAY,129280,12,Other,2795344.0
MODERA SLU,435 DEXTER AVE N,320566,10,Other,7635084.0
INSIGNIA CONDOS,588 BELL ST,1464631,11,Other,36035896.0
SOUTH SEATTLE COLLEGE - CASCADE HALL,6000 16TH AVE SW,57333,9,Other,1961729.0
SEATTLE BUDDHIST CHURCH,1427 S MAIN ST,30073,87,Other,716162.0
DECIBEL APARTMENTS,301 12TH AVE,69656,10,Other,885884.0
REVERB APARTMENTS,1023 E ALDER ST,77757,9,Other,1545266.0
URBAN UNION (AMELIA- AMAZON BLDG),501 FAIRVIEW AVE N,422272,10,Office,10370797.0
MAD FLATS,1523 E MADISON ST,20838,11,Other,1008078.0
VIVE BALLARD,1516 NW 51ST ST,67505,11,Other,1649812.0
TOWER 12,2015 2ND AVE,539039,10,Other,17344914.0
THORNTON CREEK ELEMENTARY SCHOOL (SPS-DISTRICT),7712 40TH AVE NE,102948,9,School,1963643.0
DAY 1 TOWER AND SPHERES (Amazon),2101 7TH AVE,1599230,10,Office,52682232.0
The Hub - U District Seattle,5000 UNIVERSITY WAY NE,125070,8,Other,4651324.0
THE JUNO BUILDING,400 DEXTER AVE N,443118,9,Office,44739164.0
THE EDDY,419 NE 71ST ST,112302,10,Other,3871880.0
COVE APARTMENTS,601 E PIKE ST,52112,10,Other,1572286.0
SHELTON EASTLAKE,2359 FRANKLIN AVE E,51663,10,Other,725361.0
KINECTS TOWER,1823 MINOR AVE,512983,56,Other,18832090.0
SAVOY LAKE CITY,13730 LAKE CITY WAY NE 98125,93857,56,Other,2686196.0
2701 EASTLAKE,2701 EASTLAKE AVE E,91551,56,Office,1378294.0
AUGUSTA APARTMENTS,4041 ROOSEVELT WAY NE,257903,56,Other,4635312.0
CITY LINE II APARTMENTS,4730 32ND AVE S,192257,9,Other,4627966.0
550 BROADWAY APARTMENTS (ZIG),550 BROADWAY,138434,9,Other,3182740.0
BLUESTONE APTS,9051 20TH AVE SW,51521,9,Other,1259277.0
BERYL APARTMENTS,1200 E PIKE ST,73965,11,Other,2439684.0
THE CHARTER HOTEL,1610 2ND AVE,185492,8,Hotel,10581595.0
HENRY APARTMENTS,24 ETRURIA ST,108857,10,Other,1712263.0
GENESEE HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5013 SW DAKOTA ST,94294,10,School,2968912.0
ROOSEVELT & 50TH APARTMENTS,4750 ROOSEVELT WAY NE,69404,10,Other,1051201.0
MARKET FRONT APARTMENTS,1901 WESTERN AVE,173700,10,Other,5002068.0
HAMILTON APARTMENTS,2305 E MADISON ST,33889,9,Other,1360105.0
AMLI WALLINGFORD APARTMENT - SOUTH,3325 BURKE AVE N,128210,10,Other,2849105.0
HELENE APARTMENTS- GREENLAKE,414 NE RAVENNA BLVD,45877,11,Other,1051019.0
WESTLAKE STEPS & MARINA SLU,1209 WESTLAKE AVE N,393641,10,Other,9350534.0
ONE LAKEFRONT AT 1287,1287 WESTLAKE AVE N,395317,10,Other,10720476.0
VIVID,219 1ST AVE N,33114,9,Other,970366.0
FOX & FINCH APARTMENTS,525 BOREN AVE N,41600,9,Other,1565436.0
NOVO SEATTLE,6105 ROOSEVELT WAY NE,39272,9,Other,1444068.0
KEELSON BALLARD,1537 NW 56TH ST,114829,10,Other,2522822.0
